question,sent,word
54,2,Ennui’s
4,2,‘Crime
29,2,Xia
127,3,Hicks-Hansen
80,2,roots
85,3,JOIN
67,1,work
129,2,imitate
20,1,Elisabeth
58,2,Kattrin
26,2,Decree
69,2,Pierre
103,2,Old
109,2,"Titian,"
82,1,"""Ut"
83,1,Darcy’s
138,1,defense
21,1,Josef
1,2,harassing
48,2,Sappleton
12,2,Cat
79,2,Gibbs
145,2,policy
151,2,"airplane,"
139,3,killed
77,2,Nylon-6
144,2,Richard
159,2,American
133,3,social
155,2,bird-and-flower
146,1,Sentinels
99,1,fifth
73,1,amyloids.
41,2,gun
94,3,"""Law"
28,2,Inkatha
114,3,sonnets
118,2,senator
6,2,Aleutian
22,1,Napoleon
87,3,temperature
104,2,epiphenomenalism
149,1,cosmetic
84,2,Riemann.
112,1,"Wanderers,"
56,1,collection
92,2,"""All"
7,1,Office
65,1,Rosa
121,2,"""Kitchen"
93,1,affair
68,1,evil
95,4,light
108,2,Darmstadt
81,2,vacuum
74,2,monocots
61,2,Cloven
35,2,phalanx
