page,question,sentence,final,weight,word,evidence
other operator,110,0,False,0.07,18,"{'confidence': 0.06991318613290787, 'final': False}"
operator,110,1,False,0.02,18,"{'confidence': 0.019686002284288406, 'final': False}"
operator,110,1,False,0.01,24,"{'confidence': 0.013872125186026096, 'final': False}"
The other operator,110,2,False,0.01,17,"{'confidence': 0.00879624392837286, 'final': False}"
other operator,110,2,False,0.01,24,"{'confidence': 0.012118753977119923, 'final': False}"
The other operator,110,3,False,0.01,7,"{'confidence': 0.007051400374621153, 'final': False}"
operator,110,4,False,0.00,14,"{'confidence': 0.004414062947034836, 'final': False}"
operator,110,4,False,0.00,14,"{'confidence': 0.004414062947034836, 'final': False}"
The other operator,111,0,False,0.04,9,"{'confidence': 0.04062214866280556, 'final': False}"
The other operator,111,1,False,0.15,18,"{'confidence': 0.15374399721622467, 'final': False}"
The other operator,111,1,False,0.05,20,"{'confidence': 0.04648178443312645, 'final': False}"
The other operator,111,2,False,0.04,14,"{'confidence': 0.042720403522253036, 'final': False}"
The other operator,111,2,False,0.02,36,"{'confidence': 0.023189516738057137, 'final': False}"
The other operator,111,2,False,0.02,36,"{'confidence': 0.023189516738057137, 'final': False}"
The other operator,111,3,False,0.01,15,"{'confidence': 0.014668416231870651, 'final': False}"
The other operator,111,3,False,0.01,31,"{'confidence': 0.012310817837715149, 'final': False}"
The other operator,111,3,False,0.01,39,"{'confidence': 0.006790276616811752, 'final': False}"
"retransmitting ""How are you receiving me?""",111,4,False,0.00,17,"{'confidence': 0.002952559618279338, 'final': False}"
"retransmitting ""How are you receiving me?""",111,4,False,0.00,17,"{'confidence': 0.002952559618279338, 'final': False}"
aphasia,112,0,True,0.26,17,"{'confidence': 0.25925949215888977, 'final': True}"
aphasia,112,0,True,0.26,17,"{'confidence': 0.25925949215888977, 'final': True}"
aphasia,112,1,True,0.28,12,"{'confidence': 0.2807614803314209, 'final': True}"
aphasia,112,2,False,0.10,16,"{'confidence': 0.09905961900949478, 'final': False}"
aphasia,112,2,False,0.10,28,"{'confidence': 0.09592863917350769, 'final': False}"
aphasia,112,2,False,0.10,28,"{'confidence': 0.09592863917350769, 'final': False}"
aphasia,112,3,False,0.08,15,"{'confidence': 0.07581370323896408, 'final': False}"
aphasia,112,3,False,0.09,16,"{'confidence': 0.08575326204299927, 'final': False}"
aphasia,112,4,False,0.08,17,"{'confidence': 0.08234559744596481, 'final': False}"
aphasia,112,4,False,0.03,30,"{'confidence': 0.025440195575356483, 'final': False}"
aphasia,112,4,False,0.03,30,"{'confidence': 0.025440195575356483, 'final': False}"
"The original message, NTF131755",113,0,False,0.02,17,"{'confidence': 0.023038366809487343, 'final': False}"
encoded in the Japanese Naval Cipher,113,0,False,0.01,20,"{'confidence': 0.0065975491888821125, 'final': False}"
The original message,113,1,False,0.01,17,"{'confidence': 0.007031619548797607, 'final': False}"
The original message,113,1,False,0.00,18,"{'confidence': 0.003991221077740192, 'final': False}"
encoded in the Japanese Naval Cipher,113,2,False,0.00,15,"{'confidence': 0.002944424981251359, 'final': False}"
The original message,113,2,False,0.00,32,"{'confidence': 0.003006081096827984, 'final': False}"
Japanese Naval Cipher,113,2,False,0.00,38,"{'confidence': 0.0017651908565312624, 'final': False}"
Japanese Naval Cipher,113,3,False,0.00,17,"{'confidence': 0.00045658755698241293, 'final': False}"
Japanese Naval Cipher,113,3,False,0.00,21,"{'confidence': 0.0003571033012121916, 'final': False}"
Japanese Naval Cipher,113,3,False,0.00,21,"{'confidence': 0.0003571033012121916, 'final': False}"
Ivan Sirko,114,0,False,0.03,17,"{'confidence': 0.03303636983036995, 'final': False}"
Ivan Sirko,114,1,False,0.01,19,"{'confidence': 0.014829658903181553, 'final': False}"
Ivan Sirko,114,1,False,0.04,31,"{'confidence': 0.0396314337849617, 'final': False}"
Ivan Sirko,114,2,False,0.04,14,"{'confidence': 0.036405015736818314, 'final': False}"
Ivan Sirko,114,2,False,0.03,23,"{'confidence': 0.03395667299628258, 'final': False}"
Ivan Sirko,114,3,False,0.09,10,"{'confidence': 0.09180016815662384, 'final': False}"
Ivan Sirko,114,3,False,0.09,10,"{'confidence': 0.09180016815662384, 'final': False}"
