sentence,human_buzz,human_correctness,qid,model_correctness,model_guess,run_id,model_buzz
"For 10 points, name this genre of a J.S. Bach piece named for St. Matthew.",N/A,N/A,101,True,Oratorio,5,"For 10 points, name this genre of a J.S. Bach piece named for St. Matthew."
Functions with the 'square' form of this property form the only L⋅p space that is a Hilbert space.,N/A,N/A,209,False,Convergence (mathematics),1,Functions with the 'square' form of this property
Functions with the 'square' form of this property form the only L⋅p space that is a Hilbert space.,Functions with the 'square' form of this property form,False,209,N/A,N/A,1,N/A
"That woman, who resembles a childhood friend, teaches the foxtrot to this novel's narrator.",N/A,N/A,25,True,Steppenwolf (novel),2,"That woman, who resembles a childhood friend, teaches the foxtrot to this novel's narrator."
A battle fought on this large body of water included the destruction of a fort partly named for a crown.,N/A,N/A,50,True,Lake Champlain,1,A battle fought on this large body of water included
Graffiti in this city often depicts a dog with a red bandanna around its neck named for attacking cops during 2011 protests.,N/A,N/A,219,True,Santiago,1,Graffiti in this city often depicts a dog with a red bandanna around its neck named for attacking cops during 2011 protests.
Production of one type of these objects is controlled by Rupert Murdoch through Zondervan.,N/A,N/A,141,True,Bible translations,2,Production
"A guerrilla group from this country was responsible for killing an American Chief of Public Safety who had used the phrase ""the precise pain, in the precise place, in the precise amount"" to train this country's torturers.",N/A,N/A,75,True,Uruguay,0,"A guerrilla group from this country was responsible for killing an American Chief of Public Safety who had used the phrase ""the precise pain, in the precise place, in the precise amount"" to"
Planar examples of these constructs can be analyzed using mesh analysis.,N/A,N/A,197,True,Graphs (mathematics),1,Planar examples of these constructs can be
"Risk attitudes can be determined by analyzing the sign of the second derivative of these functions, which are constant along indifference curves.",N/A,N/A,163,True,Utility,3,Risk
A character in this story uses the metaphor of a riddle about chess not being able to use the word chess.,N/A,N/A,42,False,Dream of the Red Chamber,1,A character in this story uses the metaphor of a riddle about chess not being able
A character in this story uses the metaphor of a riddle about chess not being able to use the word chess.,A character in this story uses the metaphor of a riddle about chess not being able to use the,False,42,N/A,N/A,1,N/A
"Perfect"" systems that maximize this quantity are limited only by diffusion.",N/A,N/A,192,False,Enzyme kinetics,3,"Perfect"""
"Perfect"" systems that maximize this quantity are limited only by diffusion.","Perfect"" systems that maximize this quantity are limited only by diffusion.",False,192,N/A,N/A,3,N/A
The marriage of Charles Stuart's wife was supposed to be when a sequence of works depicting a person born into this family was completed by a Flemish artist.,N/A,N/A,65,False,House of Guise,3,The
The marriage of Charles Stuart's wife was supposed to be when a sequence of works depicting a person born into this family was completed by a Flemish artist.,The marriage of Charles,False,65,N/A,N/A,3,N/A
Flow cytometry is followed by FISH to quantify the length of these G-quadruplex-rich structures.,N/A,N/A,169,True,Telomere,1,Flow cytometry is followed by FISH to quantify the
A horned Quranic figure who builds a set of gates is most often identified with this figure.,N/A,N/A,145,True,Alexander the Great,2,A horned Quranic figure who builds a set of gates is most often identified with this
"During this type of event, one woman wore an enormous red quilted, feathered dress, while a man carried a model of his own head.",N/A,N/A,130,False,Fashion show,2,During
"During this type of event, one woman wore an enormous red quilted, feathered dress, while a man carried a model of his own head.",During this,False,130,N/A,N/A,2,N/A
"That essay by this author notes that ""voluntarily"" and ""involuntarily"" rarely apply to the same verbs and considers differences between the title concept and ""justifications.""",N/A,N/A,154,False,Michel Foucault,1,"That essay by this author notes that ""voluntarily"" and"
"That essay by this author notes that ""voluntarily"" and ""involuntarily"" rarely apply to the same verbs and considers differences between the title concept and ""justifications.""","That essay by this author notes that ""voluntarily"" and ""involuntarily"" rarely",False,154,N/A,N/A,1,N/A
This man's daughter compared a certain device to a Jacquard Machine for its use of punch cards.,N/A,N/A,89,False,John Stuart Mill,3,This man's daughter compared a certain device to
"For 10 points, name this Romantic poet who wrote Don Juan.","For 10 points, name this Romantic poet who wrote Don Juan.          ",False,89,N/A,N/A,5,N/A
That novel by this author draws on an incident from his country in which a 1940s surrealist poet was revealed to be a hoax played on the magazine Angry Penguins.,N/A,N/A,18,True,Peter Carey (novelist),1,That novel by this author draws on an incident from his country in which a 1940s surrealist poet was revealed to be
One painting shows this man painting a woman from behind while both of them are shown in a mirror.,N/A,N/A,113,True,Pablo Picasso,1,One painting shows this man painting a woman
"A woman says, ""they did something to me in Hospital, they poisoned me"" in a poem titled for this text.",N/A,N/A,4,False,Joseph Conrad,1,"A woman says, ""they did something to me in"
"A woman says, ""they did something to me in Hospital, they poisoned me"" in a poem titled for this text.","A woman says, ""they did something to me in Hospital, they",False,4,N/A,N/A,1,N/A
